Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (otros)
2022,1,Buenos Aires,3340707.0,50744.0
2022,1,Capital Federal,1508031.0,22907.0
2022,1,Catamarca,30167.0,458.0
2022,1,Chaco,84847.0,1289.0
2022,1,Chubut,72602.0,1103.0
2022,1,Córdoba,579744.0,8806.0
2022,1,Corrientes,88953.0,1351.0
2022,1,Entre Ríos,189649.0,2881.0
2022,1,Formosa,33824.0,514.0
2022,1,Jujuy,48709.0,740.0
2022,1,La Pampa,72052.0,1094.0
2022,1,La Rioja,27504.0,418.0
2022,1,Mendoza,196157.0,2980.0
2022,1,Misiones,91333.0,1387.0
2022,1,Neuquén,74114.0,1126.0
2022,1,Río Negro,83067.0,1262.0
2022,1,Salta,109105.0,1657.0
2022,1,San Juan,74775.0,1136.0
2022,1,San Luis,34398.0,522.0
2022,1,Santa Cruz,26956.0,409.0
2022,1,Santa Fe,629111.0,9556.0
2022,1,Santiago del Estero,67522.0,1026.0
2022,1,Tierra del Fuego,21573.0,328.0
2022,1,Tucumán,185032.0,2811.0
2021,4,Buenos Aires,3313370.0,51980.0
2021,4,Capital Federal,1439097.0,22576.0
2021,4,Catamarca,29635.0,465.0
2021,4,Chaco,90829.0,1425.0
2021,4,Chubut,68209.0,1070.0
2021,4,Córdoba,583715.0,9157.0
2021,4,Corrientes,97971.0,1537.0
2021,4,Entre Ríos,207536.0,3256.0
2021,4,Formosa,36411.0,571.0
2021,4,Jujuy,44258.0,694.0
2021,4,La Pampa,71751.0,1126.0
2021,4,La Rioja,26765.0,420.0
2021,4,Mendoza,204522.0,3209.0
2021,4,Misiones,98622.0,1547.0
2021,4,Neuquén,72616.0,1139.0
2021,4,Río Negro,86287.0,1354.0
2021,4,Salta,120291.0,1887.0
2021,4,San Juan,66631.0,1045.0
2021,4,San Luis,33020.0,518.0
2021,4,Santa Cruz,27740.0,435.0
2021,4,Santa Fe,655796.0,10288.0
2021,4,Santiago del Estero,66649.0,1046.0
2021,4,Tierra del Fuego,18937.0,297.0
2021,4,Tucumán,165702.0,2600.0
2021,3,Buenos Aires,3164518.0,54601.0
2021,3,Capital Federal,1367485.0,23595.0
2021,3,Catamarca,24683.0,426.0
2021,3,Chaco,73770.0,1273.0
2021,3,Chubut,73086.0,1261.0
2021,3,Córdoba,484017.0,8351.0
2021,3,Corrientes,78053.0,1347.0
2021,3,Entre Ríos,164023.0,2830.0
2021,3,Formosa,30471.0,526.0
2021,3,Jujuy,35160.0,607.0
2021,3,La Pampa,71728.0,1238.0
2021,3,La Rioja,21614.0,373.0
2021,3,Mendoza,196028.0,3382.0
2021,3,Misiones,78868.0,1361.0
2021,3,Neuquén,74203.0,1280.0
2021,3,Río Negro,83724.0,1445.0
2021,3,Salta,93818.0,1619.0
2021,3,San Juan,74837.0,1291.0
2021,3,San Luis,34431.0,594.0
2021,3,Santa Cruz,26961.0,465.0
2021,3,Santa Fe,539814.0,9314.0
2021,3,Santiago del Estero,57376.0,990.0
2021,3,Tierra del Fuego,21573.0,372.0
2021,3,Tucumán,133062.0,2296.0
2021,2,Buenos Aires,3313370.0,51980.0
2021,2,Capital Federal,1439097.0,22576.0
2021,2,Catamarca,29635.0,465.0
2021,2,Chaco,90829.0,1425.0
2021,2,Chubut,68209.0,1070.0
2021,2,Córdoba,583715.0,9157.0
2021,2,Corrientes,97971.0,1537.0
2021,2,Entre Ríos,207536.0,3256.0
2021,2,Formosa,36411.0,571.0
2021,2,Jujuy,44258.0,694.0
2021,2,La Pampa,71751.0,1126.0
2021,2,La Rioja,26765.0,420.0
2021,2,Mendoza,204522.0,3209.0
2021,2,Misiones,98622.0,1547.0
2021,2,Neuquén,72616.0,1139.0
2021,2,Río Negro,86287.0,1354.0
2021,2,Salta,120291.0,1887.0
2021,2,San Juan,66631.0,1045.0
2021,2,San Luis,33020.0,518.0
2021,2,Santa Cruz,27740.0,435.0
2021,2,Santa Fe,655796.0,10288.0
2021,2,Santiago del Estero,66649.0,1046.0
2021,2,Tierra del Fuego,18937.0,297.0
2021,2,Tucumán,165702.0,2600.0
2021,1,Buenos Aires,3203761.0,66500.0
2021,1,Capital Federal,1395627.0,28969.0
2021,1,Catamarca,26597.0,552.0
2021,1,Chaco,75834.0,1574.0
2021,1,Chubut,73068.0,1517.0
2021,1,Córdoba,523748.0,10871.0
2021,1,Corrientes,78850.0,1637.0
2021,1,Entre Ríos,168446.0,3496.0
2021,1,Formosa,31265.0,649.0
2021,1,Jujuy,42953.0,892.0
2021,1,La Pampa,71152.0,1477.0
2021,1,La Rioja,24254.0,503.0
2021,1,Mendoza,196315.0,4075.0
2021,1,Misiones,82076.0,1704.0
2021,1,Neuquén,74404.0,1544.0
2021,1,Río Negro,82669.0,1716.0
2021,1,Salta,96214.0,1997.0
2021,1,San Juan,74837.0,1553.0
2021,1,San Luis,34431.0,715.0
2021,1,Santa Cruz,26930.0,559.0
2021,1,Santa Fe,570118.0,11834.0
2021,1,Santiago del Estero,62157.0,1290.0
2021,1,Tierra del Fuego,21573.0,448.0
2021,1,Tucumán,163185.0,3387.0
2020,4,Buenos Aires,3232457.0,56709.0
2020,4,Capital Federal,1423882.0,24980.0
2020,4,Catamarca,33525.0,588.0
2020,4,Chaco,81113.0,1423.0
2020,4,Chubut,73019.0,1281.0
2020,4,Córdoba,535102.0,9388.0
2020,4,Corrientes,85319.0,1497.0
2020,4,Entre Ríos,178988.0,3140.0
2020,4,Formosa,34057.0,597.0
2020,4,Jujuy,45686.0,801.0
2020,4,La Pampa,70628.0,1239.0
2020,4,La Rioja,29306.0,514.0
2020,4,Mendoza,196388.0,3445.0
2020,4,Misiones,85762.0,1505.0
2020,4,Neuquén,74546.0,1308.0
2020,4,Río Negro,84513.0,1483.0
2020,4,Salta,101610.0,1783.0
2020,4,San Juan,74837.0,1313.0
2020,4,San Luis,34431.0,604.0
2020,4,Santa Cruz,27239.0,478.0
2020,4,Santa Fe,592374.0,10392.0
2020,4,Santiago del Estero,66338.0,1164.0
2020,4,Tierra del Fuego,21573.0,378.0
2020,4,Tucumán,181343.0,3181.0
2020,3,Buenos Aires,3233324.0,61547.0
2020,3,Capital Federal,1433000.0,27277.0
2020,3,Catamarca,33596.0,640.0
2020,3,Chaco,82542.0,1571.0
2020,3,Chubut,72950.0,1389.0
2020,3,Córdoba,549383.0,10458.0
2020,3,Corrientes,86349.0,1644.0
2020,3,Entre Ríos,181304.0,3451.0
2020,3,Formosa,34864.0,664.0
2020,3,Jujuy,46331.0,882.0
2020,3,La Pampa,70536.0,1343.0
2020,3,La Rioja,29404.0,560.0
2020,3,Mendoza,196383.0,3738.0
2020,3,Misiones,88884.0,1692.0
2020,3,Neuquén,74481.0,1418.0
2020,3,Río Negro,85239.0,1623.0
2020,3,Salta,103159.0,1964.0
2020,3,San Juan,74844.0,1425.0
2020,3,San Luis,34436.0,656.0
2020,3,Santa Cruz,27279.0,519.0
2020,3,Santa Fe,624379.0,11885.0
2020,3,Santiago del Estero,66338.0,1263.0
2020,3,Tierra del Fuego,21573.0,411.0
2020,3,Tucumán,181967.0,3464.0
2020,2,Buenos Aires,3232457.0,56709.0
2020,2,Capital Federal,1423882.0,24980.0
2020,2,Catamarca,33525.0,588.0
2020,2,Chaco,81113.0,1423.0
2020,2,Chubut,73019.0,1281.0
2020,2,Córdoba,535102.0,9388.0
2020,2,Corrientes,85319.0,1497.0
2020,2,Entre Ríos,178988.0,3140.0
2020,2,Formosa,34057.0,597.0
2020,2,Jujuy,45686.0,801.0
2020,2,La Pampa,70628.0,1239.0
2020,2,La Rioja,29306.0,514.0
2020,2,Mendoza,196388.0,3445.0
2020,2,Misiones,85762.0,1505.0
2020,2,Neuquén,74546.0,1308.0
2020,2,Río Negro,84513.0,1483.0
2020,2,Salta,101610.0,1783.0
2020,2,San Juan,74837.0,1313.0
2020,2,San Luis,34431.0,604.0
2020,2,Santa Cruz,27239.0,478.0
2020,2,Santa Fe,592374.0,10392.0
2020,2,Santiago del Estero,66338.0,1164.0
2020,2,Tierra del Fuego,21573.0,378.0
2020,2,Tucumán,181343.0,3181.0
2020,1,Buenos Aires,3261264.0,59561.0
2020,1,Capital Federal,1456196.0,26595.0
2020,1,Catamarca,29743.0,543.0
2020,1,Chaco,84041.0,1535.0
2020,1,Chubut,78692.0,1437.0
2020,1,Córdoba,574075.0,10484.0
2020,1,Corrientes,87649.0,1601.0
2020,1,Entre Ríos,186835.0,3412.0
2020,1,Formosa,34562.0,631.0
2020,1,Jujuy,47985.0,876.0
2020,1,La Pampa,70733.0,1292.0
2020,1,La Rioja,27079.0,495.0
2020,1,Mendoza,210725.0,3849.0
2020,1,Misiones,90832.0,1659.0
2020,1,Neuquén,77487.0,1415.0
2020,1,Río Negro,88260.0,1612.0
2020,1,Salta,107506.0,1963.0
2020,1,San Juan,78502.0,1434.0
2020,1,San Luis,36334.0,664.0
2020,1,Santa Cruz,29360.0,536.0
2020,1,Santa Fe,624563.0,11407.0
2020,1,Santiago del Estero,67237.0,1228.0
2020,1,Tierra del Fuego,23550.0,430.0
2020,1,Tucumán,182424.0,3332.0
2019,4,Buenos Aires,3348525.0,71978.0
2019,4,Capital Federal,1478871.0,31789.0
2019,4,Catamarca,31113.0,669.0
2019,4,Chaco,86928.0,1869.0
2019,4,Chubut,81784.0,1758.0
2019,4,Córdoba,604424.0,12992.0
2019,4,Corrientes,89969.0,1934.0
2019,4,Entre Ríos,191513.0,4117.0
2019,4,Formosa,35319.0,759.0
2019,4,Jujuy,49460.0,1063.0
2019,4,La Pampa,71332.0,1533.0
2019,4,La Rioja,28349.0,609.0
2019,4,Mendoza,218661.0,4700.0
2019,4,Misiones,93753.0,2015.0
2019,4,Neuquén,78963.0,1697.0
2019,4,Río Negro,91113.0,1959.0
2019,4,Salta,110873.0,2383.0
2019,4,San Juan,80524.0,1731.0
2019,4,San Luis,37794.0,812.0
2019,4,Santa Cruz,30409.0,654.0
2019,4,Santa Fe,643060.0,13823.0
2019,4,Santiago del Estero,68405.0,1470.0
2019,4,Tierra del Fuego,24283.0,522.0
2019,4,Tucumán,187391.0,4028.0
2019,3,Buenos Aires,3414932.0,73255.0
2019,3,Capital Federal,1497396.0,32121.0
2019,3,Catamarca,32676.0,701.0
2019,3,Chaco,88269.0,1893.0
2019,3,Chubut,83907.0,1800.0
2019,3,Córdoba,612366.0,13136.0
2019,3,Corrientes,91158.0,1955.0
2019,3,Entre Ríos,194253.0,4167.0
2019,3,Formosa,35966.0,772.0
2019,3,Jujuy,50113.0,1075.0
2019,3,La Pampa,63774.0,1368.0
2019,3,La Rioja,29547.0,634.0
2019,3,Mendoza,225668.0,4841.0
2019,3,Misiones,95865.0,2056.0
2019,3,Neuquén,80350.0,1724.0
2019,3,Río Negro,94207.0,2021.0
2019,3,Salta,113707.0,2439.0
2019,3,San Juan,82462.0,1769.0
2019,3,San Luis,39274.0,842.0
2019,3,Santa Cruz,32023.0,687.0
2019,3,Santa Fe,647965.0,13900.0
2019,3,Santiago del Estero,69371.0,1488.0
2019,3,Tierra del Fuego,25143.0,539.0
2019,3,Tucumán,192297.0,4125.0
2019,2,Buenos Aires,3348525.0,71978.0
2019,2,Capital Federal,1478871.0,31789.0
2019,2,Catamarca,31113.0,669.0
2019,2,Chaco,86928.0,1869.0
2019,2,Chubut,81784.0,1758.0
2019,2,Córdoba,604424.0,12992.0
2019,2,Corrientes,89969.0,1934.0
2019,2,Entre Ríos,191513.0,4117.0
2019,2,Formosa,35319.0,759.0
2019,2,Jujuy,49460.0,1063.0
2019,2,La Pampa,71332.0,1533.0
2019,2,La Rioja,28349.0,609.0
2019,2,Mendoza,218661.0,4700.0
2019,2,Misiones,93753.0,2015.0
2019,2,Neuquén,78963.0,1697.0
2019,2,Río Negro,91113.0,1959.0
2019,2,Salta,110873.0,2383.0
2019,2,San Juan,80524.0,1731.0
2019,2,San Luis,37794.0,812.0
2019,2,Santa Cruz,30409.0,654.0
2019,2,Santa Fe,643060.0,13823.0
2019,2,Santiago del Estero,68405.0,1470.0
2019,2,Tierra del Fuego,24283.0,522.0
2019,2,Tucumán,187391.0,4028.0
2019,1,Buenos Aires,3563157.0,118439.0
2019,1,Capital Federal,1599798.0,53177.0
2019,1,Catamarca,36178.0,1203.0
2019,1,Chaco,93703.0,3115.0
2019,1,Chubut,88768.0,2951.0
2019,1,Córdoba,656248.0,21814.0
2019,1,Corrientes,95050.0,3159.0
2019,1,Entre Ríos,203743.0,6772.0
2019,1,Formosa,37799.0,1256.0
2019,1,Jujuy,51824.0,1723.0
2019,1,La Pampa,65887.0,2190.0
2019,1,La Rioja,32830.0,1091.0
2019,1,Mendoza,241006.0,8011.0
2019,1,Misiones,101672.0,3380.0
2019,1,Neuquén,83521.0,2776.0
2019,1,Río Negro,100373.0,3336.0
2019,1,Salta,122902.0,4085.0
2019,1,San Juan,85905.0,2855.0
2019,1,San Luis,42908.0,1426.0
2019,1,Santa Cruz,34171.0,1136.0
2019,1,Santa Fe,685178.0,22775.0
2019,1,Santiago del Estero,72886.0,2423.0
2019,1,Tierra del Fuego,25181.0,837.0
2019,1,Tucumán,206715.0,6871.0
2018,4,Buenos Aires,4558545.0,132722.0
2018,4,Capital Federal,1753365.0,51049.0
2018,4,Catamarca,36970.0,1076.0
2018,4,Chaco,95754.0,2788.0
2018,4,Chubut,117520.0,3422.0
2018,4,Córdoba,671019.0,19537.0
2018,4,Corrientes,96921.0,2822.0
2018,4,Entre Ríos,207407.0,6039.0
2018,4,Formosa,38705.0,1127.0
2018,4,Jujuy,52432.0,1527.0
2018,4,La Pampa,76460.0,2226.0
2018,4,La Rioja,33864.0,986.0
2018,4,Mendoza,360697.0,10502.0
2018,4,Misiones,104246.0,3035.0
2018,4,Neuquén,109166.0,3178.0
2018,4,Río Negro,139693.0,4067.0
2018,4,Salta,126296.0,3677.0
2018,4,San Juan,115257.0,3356.0
2018,4,San Luis,51830.0,1509.0
2018,4,Santa Cruz,44277.0,1289.0
2018,4,Santa Fe,697606.0,20311.0
2018,4,Santiago del Estero,74168.0,2159.0
2018,4,Tierra del Fuego,33372.0,972.0
2018,4,Tucumán,210346.0,6124.0
2018,3,Buenos Aires,4492692.0,134357.0
2018,3,Capital Federal,1775534.0,53099.0
2018,3,Catamarca,37877.0,1133.0
2018,3,Chaco,91629.0,2740.0
2018,3,Chubut,116981.0,3498.0
2018,3,Córdoba,674653.0,20176.0
2018,3,Corrientes,94809.0,2835.0
2018,3,Entre Ríos,200199.0,5987.0
2018,3,Formosa,39405.0,1178.0
2018,3,Jujuy,53058.0,1587.0
2018,3,La Pampa,75708.0,2264.0
2018,3,La Rioja,34553.0,1033.0
2018,3,Mendoza,360459.0,10780.0
2018,3,Misiones,103894.0,3107.0
2018,3,Neuquén,97134.0,2905.0
2018,3,Río Negro,139713.0,4178.0
2018,3,Salta,129587.0,3875.0
2018,3,San Juan,115192.0,3445.0
2018,3,San Luis,44305.0,1325.0
2018,3,Santa Cruz,44198.0,1322.0
2018,3,Santa Fe,672622.0,20115.0
2018,3,Santiago del Estero,53667.0,1605.0
2018,3,Tierra del Fuego,33372.0,998.0
2018,3,Tucumán,213747.0,6392.0
2018,2,Buenos Aires,4477907.0,145255.0
2018,2,Capital Federal,1742825.0,56534.0
2018,2,Catamarca,38159.0,1238.0
2018,2,Chaco,97970.0,3178.0
2018,2,Chubut,117005.0,3795.0
2018,2,Córdoba,683794.0,22181.0
2018,2,Corrientes,99001.0,3211.0
2018,2,Entre Ríos,213670.0,6931.0
2018,2,Formosa,39741.0,1289.0
2018,2,Jujuy,53642.0,1740.0
2018,2,La Pampa,75704.0,2456.0
2018,2,La Rioja,35170.0,1141.0
2018,2,Mendoza,360453.0,11692.0
2018,2,Misiones,108094.0,3506.0
2018,2,Neuquén,97148.0,3151.0
2018,2,Río Negro,139757.0,4533.0
2018,2,Salta,131938.0,4280.0
2018,2,San Juan,115192.0,3737.0
2018,2,San Luis,44326.0,1438.0
2018,2,Santa Cruz,44258.0,1436.0
2018,2,Santa Fe,685345.0,22231.0
2018,2,Santiago del Estero,55208.0,1791.0
2018,2,Tierra del Fuego,33372.0,1083.0
2018,2,Tucumán,214298.0,6951.0
2018,1,Buenos Aires,4437761.0,196135.0
2018,1,Capital Federal,1732094.0,76553.0
2018,1,Catamarca,38375.0,1696.0
2018,1,Chaco,99037.0,4377.0
2018,1,Chubut,113978.0,5037.0
2018,1,Córdoba,691843.0,30577.0
2018,1,Corrientes,99564.0,4400.0
2018,1,Entre Ríos,215675.0,9532.0
2018,1,Formosa,40111.0,1773.0
2018,1,Jujuy,54304.0,2400.0
2018,1,La Pampa,75269.0,3327.0
2018,1,La Rioja,35980.0,1590.0
2018,1,Mendoza,360420.0,15929.0
2018,1,Misiones,103398.0,4570.0
